total_account_count,total_income,total_product_count,total_profit,CA,AE,SG,AU,JP,SA,MX,active_months,status_code,packages_encoded,registration_source_encoded
0,0,0,0,0,0,0,0,0,0,0,42,1,0,3
2,7737,0,0,1,0,0,0,0,0,1,42,1,0,3
2,2053,0,0,0,1,1,0,0,0,0,42,1,0,3
1,19541,0,0,0,0,0,1,0,0,0,42,1,0,3
1,0,0,0,1,0,0,0,0,0,0,42,1,0,3
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
1,0,309,0,0,0,1,0,0,0,0,41,0,0,3
2,0,0,0,0,1,1,0,0,0,0,41,1,0,3
1,0,0,0,0,0,1,0,0,0,0,41,1,0,3
7,11851,0,39,1,0,1,0,1,0,0,41,0,0,3
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
1,485,0,0,0,1,0,0,0,0,0,41,1,0,3
1,0,0,0,0,0,1,0,0,0,0,41,1,0,3
0,0,0,0,0,0,0,0,0,0,0,41,1,0,3
1,0,0,0,0,0,1,0,0,0,0,41,1,0,3
3,0,0,0,0,1,1,1,0,0,0,41,1,0,3
1,0,50,0,0,1,0,0,0,0,0,41,0,0,3
1,0,0,0,0,0,1,0,0,0,0,41,1,0,3
1,0,0,0,0,0,0,0,0,0,1,41,1,0,3
1,0,0,0,0,0,1,0,0,0,0,41,1,0,3
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
2,0,0,0,0,1,1,0,0,0,0,41,1,0,3
1,1316,0,0,0,0,0,1,0,0,0,41,1,0,3
2,0,0,0,0,1,1,0,0,0,0,41,1,0,3
1,0,0,0,1,0,0,0,0,0,0,41,1,0,3
1,0,0,0,0,0,0,0,0,0,0,41,1,0,3
1,0,0,0,0,0,0,1,0,0,0,41,1,0,3
2,25387,0,0,0,1,1,0,0,0,0,41,1,0,3
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
1,0,0,0,0,0,0,0,0,0,0,41,1,0,3
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
2,0,0,0,0,1,0,1,0,0,0,41,1,0,3
1,0,0,0,0,0,0,1,0,0,0,41,1,0,3
2,277652,49721,11388,0,1,1,0,0,0,0,41,1,3,3
4,0,0,0,0,0,0,0,0,0,0,41,1,0,3
2,0,0,0,0,1,1,0,0,0,0,41,1,0,3
1,175113,0,11,0,1,0,0,0,0,0,41,1,0,3
0,0,0,0,0,0,0,0,0,0,0,41,1,0,3
2,0,0,0,0,1,1,0,0,0,0,41,1,0,3
1,0,15,0,1,0,0,0,0,0,0,41,0,0,3
4,243382,0,1380,1,1,1,0,0,0,1,41,1,0,3
2,170,5628,0,0,1,0,1,0,0,0,41,1,1,3
